name,team,position,week,outlook
Emanuel Wilson,Packers,RB,6,"Emanuel Wilson will continue to work behind Josh Jacob out of the backfield as Green Bay prepares for a home matchup against the Cardinals in Week 6. He rushed six times for 24 yards versus the Rams in Week 5, while also securing his only target for minus nine yards. Through five appearances this season Wilson has handled 35 carries to 90 for Jacobs, making his path to production largely dependent on gamescript. With MarShawn Lloyd not eligible to come off IR until Week 7 at the earliest, Wilson will continue handling No. 2 reps for at least one more contest."
Evan Engram,Jaguars,TE,6,"Evan Engram is hoping to make his return from a hamstring injury that has sidelined him since pregame warmups in Week 2. Coach Doug Pederson expressed optimism Monday that the starting TE will be back in Week 6 against the Bears, but Engram's officially listed as questionable. Chicago's allowing only 32.4 yards per game to TEs, but Engram would be worthy of starting in fantasy nonetheless if he gains clearance to suit up, as he averaged 6.7 catches and 56.6 receiving yards per game in 2023."
Jonathan Mingo,Panthers,WR,6,"Jonathan Mingo could get more targets Week 6 against the Falcons if Xavier Legette does not play because of an injury. Legette left last week's game after one catch with a shoulder injury. He underwent tests and is uncertain for this week. However, Mingo saw increased snaps and targets when Legette was sidelined, but it didn't add to much. He caught two of five targets for 37 yards. The Falcons have a middling pass defense, though, so perhaps Mingo will have a better chance."
Mack Hollins,Bills,WR,6,"In Weeks 4 and 5, Mack Hollins has amassed 12 total targets for the Bills, translating into just three catches for 32 yards, and he hasn't scored since Week 1. A Week 6 matchup against the Jets is more appealing if WR Khalil Shakir is again out because of an ankle injury. Hollins merits deep league flex consideration only if Shakir is unable to don the pads."
Pat Freiermuth,Steelers,TE,6,"Pat Freiermuth operates as the second receiver in Pittsburgh's offense behind George Pickens, earning at least four targets in all but one contest this season. Despite that opportunity, he's worked primarily in short areas of the field and has topped 40 receiving yards in a game just once. Freiermuth has managed to pad his fantasy output with touchdowns in each of the Steelers' last two games heading into a Week 6 matchup with the Raiders, which is enough to make him a low-end TE1 option given the state of the position."
Ja'Lynn Polk,Patriots,WR,6,"Ja'Lynn Polk appears to be trending upward for the Patriots entering Week 6. He played 100% of the Week 5 snaps and has drawn 13 targets across the past two weeks, but it's resulted in just four catches for 43 yards. There are whispers of a quarterback change, though it's unclear how that would affect Polk. Thus far, the Patriots' passing game has shown no signs of life, and a Week 6 matchup against a Texans defense that's allowing 173.4 passing yards per game isn't inspiring. Polk is a depth stash, not yet a consideration for your lineups."
Miles Sanders,Panthers,RB,6,"Miles Sanders hopes to tighten his grip on the backup running back job as the Panthers play the Falcons in Week 6. Sanders did little to stake his claim to the job last week, rushing twice for six yards and catching two of three targets for 27 yards. But the Panthers trailed most of the game, which impacted his workload. He needs a strong outing at some point if he's to hold off second-round pick Jonathan Brooks, who is close to returning from an ACL injury. The Falcons, though, are tough against the run, allowing the fourth-fewest fantasy points per game to running backs."
Brenton Strange,Jaguars,TE,6,"Brenton Strange is averaging 30.0 receiving yards over Jacksonville's last four games and has scored two TDs over that span. That production has come with Evan Engram (hamstring) sidelined, and if Engram -- who is listed as questionable -- returns in Week 6 against the Bears, Strange would likely sink back into fantasy irrelevance. Should Strange get another start, he would be a bye week streamer against a Bears defense that's limiting TEs to 32.4 yards per game."
Jahan Dotson,Eagles,WR,6,"Jahan Dotson attempted to operate as the No. 1 wideout for the Eagles before their bye, but failed to achieve much success. Dotson was targeted four times, but was only able to muster two catches for 11 yards in the dismal 33-16 loss to the Bucs. With the benefit of the bye, the hope is that both A.J. Brown and DeVonta Smith will return from injury. Even if they do not, Dotson does not appear ready to contribute heavily. The Eagles will also be facing a stout Cleveland pass defense allowing just 184.4 passing yards per clash, which is eighth in the NFL."
Laviska Shenault Jr.,Seahawks,WR,6,"Laviska Shenault didn't receive any carries or targets last weekend. Shenault serves primarily as Seattle's kick returner, though he does occasionally see some usage in the offense as a gadget player. He only played five of 58 snaps in Week 5, and he doesn't receive enough playing time to be a fantasy relevant option. In Week 6, the Seahawks go up against San Francisco. The 49ers are allowing 197 passing yards per game in 2024, 12th best in the league."
Kalif Raymond,Lions,WR,6,"Kalif Raymond stands to contribute as a depth piece on offense as the Lions prepare for a Week 6 road matchup against Dallas. Tim Patrick has beaten out Raymond for the No. 3 receiver gig behind Amon-Ra St. Brown and Jameson Williams, as the two played 48 percent vs. 10 percent of offensive snaps Week 4. Raymond, instead, did most of his damage on special teams, contributing in the return game. He'll continue to field punts, and occasionally kickoffs, versus the Cowboys."
Xavier Gipson,Jets,WR,6,"Xavier Gipson failed to record a target in Week 5 for the third time this season, while the Jets threw a season-high 51 times. QB Aaron Rodgers notoriously leans on veterans, and with running backs Breece Hall and Braelon Allen, along with tight end Tyler Conklin factoring prevalently into the passing game, there aren't enough opportunities available for Gipson to provide a fantasy return. A Week 6 matchup against a Bills defense that's allowing 215.0 yards per game seems unlikely to change that narrative, leaving Gipson fantasy irrelevant."
Johnny Wilson,Eagles,WR,6,"Johnny Wilson attempted to fill in for injured teammates A.J. Brown and DeVonta Smith before Philadelphia's bye, but the attempt was short-lived. Wilson left the 33-16 loss to the Bucs early and was evaluated for a concussion. He was targeted twice but did not have a catch for the game. Wilson's status is unknown for Week 6 versus the Browns. Even if Wilson can suit up, and Brown and Smith remain sidelined, Cleveland is allowing just 184.4 passing yards per contest, which is eighth in the league."
Cedrick Wilson Jr.,Saints,WR,6,"Cedrick Wilson wasn't targeted in Week 5, and it appears as if Mason Tipton has passed him on the Saints wide receiver depth chart. Wilson only played in 12 of 53 offensive snaps, and he has only been targeted once through the first five games for one catch for three yards. Without injuries to Chris Olave or Rashid Shaheed, Wilson doesn't get enough opportunities to be a fantasy option in the near term. In Week 6, the Saints go up against Tampa Bay, who have allowed 258 passing yards per game this season."
DeAndre Carter,Bears,WR,6,"DeAndre Carter will continue handling a depth role in Chicago's receiving corps as the team travels to London for a Week 6 matchup against the Jaguars. With all of DJ Moore, Rome Odunze and Keenan Allen healthy and on the field for the Bears, Carter was held without a catch in the team's 36-10 win over the Panthers. He did work in the return game, taking his one kickoff back for 30 yards, and handling one punt return for six yards. Carter will continue contributing as Chicago's No. 4 receiver in Week 6."
Mason Rudolph,Titans,QB,6,"Mason Rudolph threw for 85 yards in relief after Will Levis hurt his shoulder in the first quarter of Tennessee's Week 4 win over the Dolphins, but Levis will return to the starting role coming out of the Week 5 bye. Rudolph will thus be relegated to the bench, though Levis may be on a short leash after committing nine turnovers in a little more than three full games. If Rudolph enters in relief again, he could find success in Week 6 against a Colts defense that has allowed the fourth-most passing yards this season, but Rudolph's off the fantasy radar as long as Levis is Tennessee's starting QB."
Ronnie Bell,49ers,WR,6,"Ronnie Bell didn't receive any targets in Week 5, and he played in just 10 of 64 offensive snaps. It's possible that Bell will be the fourth receiver on San Francisco's depth chart, especially with Chris Conley being considered day-to-day with an oblique injury. Even if that's the case, Bell doesn't see enough playing time to be a reliable fantasy option in this offense. In Week 6, San Francisco goes up against Seattle, who have allowed 183 passing yards per game this season."
